Mr,DAug,DAgr,DAri,DAiz,DBug,DBgr,DBri,DBiz,DCug,DCgr,DCri,DCiz
13.579999999999892,0.5630902454546706,0.21826722056850606,0.10063570051021672,-0.0188574732263869,0.32632529798690474,0.064456494961922,-0.000358080529131193,0.20668433965768027,0.43889265195292276,0.12028428583629555,-0.0007778722430757513,-0.0791409786382356
13.599999999999891,0.5649529758936751,0.22391307450108197,0.10547237161501181,-0.016759213950420366,0.3300559336189461,0.06785257118178915,0.0018952201977747562,0.21082480055358313,0.4448224952409117,0.12493911153671639,0.004225152539909776,-0.0767768558122775
13.61999999999989,0.5668060062135843,0.22958673686446815,0.11037843653743111,-0.014663946332654228,0.33378656925098743,0.07124864740165629,0.004148520924680705,0.214965261449486,0.4507523385289007,0.12959393723713722,0.00945415885827044,-0.07441273298631941
13.63999999999989,0.5686494557978832,0.23528862265987938,0.11535697072242673,-0.012571657613113185,0.3375172048830288,0.07464472362152343,0.006401821651586655,0.21910572234538886,0.45668218181688963,0.13424876293755805,0.014942851395394436,-0.0720486101603613
13.65999999999989,0.5704834417623288,0.24101915731455997,0.12041128372451652,-0.010482335122270935,0.3412478405150701,0.07804079984139058,0.008655122378492603,0.22324618324129172,0.46261202510487853,0.1389035886379789,0.020734252365843513,-0.06968448733440322
13.67999999999989,0.5723080790125047,0.24677877705221543,0.12554494494379298,-0.008395966280155098,0.34497847614711147,0.08143687606125771,0.010908423105398553,0.2273866441371946,0.4685418683928675,0.14355841433839972,0.02688476377184923,-0.06732036450844511
13.69999999999989,0.57412348029956,0.25256792928054,0.13076181311792123,-0.006312538595463501,0.3487091117791528,0.08483295228112485,0.013161723832304502,0.23152710503309745,0.47447171168085644,0.14821324003882055,0.03347083727410008,-0.06495624168248701
13.719999999999889,0.5759297562742047,0.25838707299681374,0.1360660702626535,-0.004232039664691653,0.3524397474111942,0.088229028500992,0.015415024559210452,0.23566756592900032,0.4804015549688454,0.1528680657392414,0.040600646020392823,-0.06259211885652892
13.739999999999888,0.5777270155390241,0.26423667921260996,0.1414622609095486,-0.0021544571712712153,0.35617038304323556,0.09162510472085914,0.0176683252861164,0.23980802682490318,0.48633139825683436,0.15752289143966222,0.04843628695609075,-0.060227996030570816
13.759999999999888,0.5795153646991775,0.2701172313987248,0.14695533768784547,-7.977888471931977e-05,0.3599010186752769,0.09502118094072627,0.01992162601302235,0.24394848772080605,0.4922612415448233,0.16217771714008306,0.05724114886646296,-0.05786387320461272
13.779999999999887,0.5812949084115357,0.2760292259515194,0.15255071455114047,0.0019920073402014456,0.36363165430731825,0.09841725716059342,0.0221749267399283,0.2480889486167089,0.49819108483281227,0.1668325428405039,0.06749968692969735,-0.05549975037865462
